Designator,Mid X,Mid Y,Layer,Rotation
C1,240.5400mm,-156.4900mm,Top,270
C2,230.0000mm,-157.7000mm,Top,90
C3,228.2000mm,-159.3500mm,Top,270
C4,258.0000mm,-161.9750mm,Top,90
C5,255.2000mm,-134.5100mm,Top,270
C6,248.9200mm,-157.0200mm,Top,270
C7,234.4300mm,-143.2100mm,Top,180
C8,223.2600mm,-159.6125mm,Top,90
C9,252.0000mm,-134.5200mm,Top,270
C10,228.9100mm,-153.1125mm,Top,270
C11,247.8375mm,-166.5000mm,Top,270
C12,241.2500mm,-152.8120mm,Top,180
C13,230.9100mm,-153.1125mm,Top,270
C14,233.1100mm,-153.1125mm,Top,270
C15,247.9000mm,-57.3000mm,Top,90
C16,238.0000mm,-146.6000mm,Top,0
C17,218.9000mm,-44.1000mm,Top,90
C18,239.4000mm,-112.8000mm,Top,180
C19,216.2000mm,-144.8800mm,Top,90
C20,216.6000mm,-164.0000mm,Top,0
C21,246.9300mm,-111.2625mm,Top,90
C22,248.7800mm,-111.3625mm,Top,90
C23,250.3800mm,-111.3625mm,Top,90
C24,244.4000mm,-111.0000mm,Top,90
C25,252.8500mm,-110.7500mm,Top,90
C26,256.4300mm,-110.1500mm,Top,0
C27,255.8500mm,-111.7500mm,Top,0
C28,242.8000mm,-111.0000mm,Top,90
C29,241.2000mm,-111.0000mm,Top,90
C30,224.9750mm,-108.1200mm,Top,270
C31,220.3650mm,-117.5877mm,Top,180
C32,217.5000mm,-72.7500mm,Top,90
C33,236.8000mm,-107.4000mm,Top,270
C34,252.4000mm,-73.0000mm,Top,90
C35,215.4800mm,-110.2500mm,Top,180
C36,245.2000mm,-90.1650mm,Top,270
C37,247.8000mm,-89.1650mm,Top,90
C38,249.2000mm,-85.6650mm,Top,0
C39,244.2000mm,-86.6650mm,Top,180
C40,250.4750mm,-90.8600mm,Top,0
C41,245.2800mm,-152.9900mm,Top,90
C42,255.0000mm,-94.0000mm,Top,0
C43,249.5000mm,-89.2500mm,Top,270
C44,244.4000mm,-134.4800mm,Top,270
C45,248.1000mm,-99.8150mm,Top,270
C46,245.7000mm,-109.6000mm,Top,90
C47,251.4900mm,-107.3700mm,Top,180
C48,225.5800mm,-110.9200mm,Top,0
C49,249.5600mm,-104.1000mm,Top,270
C50,261.0000mm,-105.4900mm,Top,270
C51,259.2400mm,-106.3450mm,Top,270
C52,217.9270mm,-123.2950mm,Top,0
C53,217.9170mm,-125.3550mm,Top,0
C54,217.9920mm,-127.2350mm,Top,0
C55,224.3000mm,-120.1200mm,Top,90
C56,230.8650mm,-143.4300mm,Top,0
C58,237.4000mm,-157.2000mm,Top,0
C59,246.4000mm,-134.6000mm,Top,270
C60,212.6000mm,33.9000mm,Top,0
C61,229.1000mm,36.2000mm,Top,270
C62,251.6000mm,-161.0000mm,Top,180
C63,221.6000mm,-127.1000mm,Top,180
D1,255.3900mm,-158.6620mm,Top,0
D2,234.6500mm,-61.3250mm,Top,0
D3,220.2550mm,-97.4900mm,Top,270
D4,217.8550mm,-99.9650mm,Top,270
D5,220.2800mm,-92.8400mm,Top,270
D6,217.8550mm,-95.3150mm,Top,270
D7,217.9000mm,-86.2000mm,Top,270
D8,217.8550mm,-90.6900mm,Top,270
D9,238.0000mm,-159.2000mm,Top,0
F1,252.2900mm,-157.1120mm,Top,270
IC1,232.8500mm,-146.2440mm,Top,180
IC2,225.9100mm,-160.5125mm,Top,90
IC3,220.7000mm,-111.5700mm,Top,0
IC4,249.6000mm,-94.2650mm,Top,270
IC5,244.5900mm,-156.7940mm,Top,180
J1,259.0400mm,-151.9120mm,Top,90
J2,219.3000mm,44.0000mm,Top,180
J5,212.8550mm,-94.8750mm,Top,270
J6,212.6620mm,-126.2700mm,Top,90
J9,209.0000mm,-156.5000mm,Top,270
K1,234.2500mm,-90.0000mm,Top,90
L1,227.8000mm,35.9000mm,Top,270
L2,232.7000mm,-158.2750mm,Top,180
L3,255.6000mm,-162.2000mm,Top,270
L4,225.0100mm,-154.3625mm,Top,90
L6,217.3875mm,-146.7500mm,Top,0
L7,217.3875mm,-148.4000mm,Top,180
L8,217.4000mm,-150.0000mm,Top,180
L9,217.4125mm,-151.5500mm,Top,180
L10,226.6000mm,32.7125mm,Top,90
L11,222.1000mm,32.5875mm,Top,90
L12,224.6100mm,32.5875mm,Top,90
L13,256.9000mm,-108.3500mm,Top,0
L14,253.0000mm,-86.8000mm,Top,270
L15,223.8000mm,35.9000mm,Top,90
L16,222.3000mm,35.9000mm,Top,90
L17,220.8000mm,35.9000mm,Top,90
L18,225.4000mm,35.8000mm,Top,90
L19,210.7000mm,35.9125mm,Top,90
L20,217.4125mm,-153.0500mm,Top,180
L21,217.4125mm,-154.6000mm,Top,180
L22,217.4000mm,-156.2000mm,Top,180
L23,217.4125mm,-157.8000mm,Top,180
L25,216.5000mm,-166.4625mm,Top,90
LED1,226.0000mm,-4.1667mm,Top,90
LED2,226.0000mm,24.4500mm,Top,90
M1,211.8000mm,-57.8000mm,Top,90
M2,260.0000mm,-166.5000mm,Top,90
M3,243.8000mm,43.0000mm,Top,180
M4,259.8000mm,-58.2000mm,Top,90
M5,221.0000mm,-166.3000mm,Top,90
M6,209.7000mm,30.0000mm,Top,90
M7,210.0000mm,-50.5000mm,Top,90
M8,226.3000mm,-50.5000mm,Top,90
M9,243.3000mm,-33.5000mm,Top,90
M10,243.8000mm,27.0000mm,Top,90
M11,259.8000mm,-141.2000mm,Top,90
M12,210.2500mm,-139.7500mm,Top,0
M13,210.0000mm,-108.7500mm,Top,0
MK1,245.0000mm,-168.0000mm,Top,0
MK2,245.0000mm,-55.8000mm,Top,180
MK3,214.9260mm,-44.1625mm,Top,270
Q1,234.6125mm,-162.8125mm,Top,180
Q2,213.6375mm,-112.2700mm,Top,180
Q3,226.4500mm,-116.1200mm,Top,90
Q4,238.8500mm,-60.5250mm,Top,180
Q5,251.2000mm,-163.7750mm,Top,180
Q6,230.0000mm,-117.6000mm,Top,180
R1,254.9000mm,-141.1000mm,Top,90
R2,230.0200mm,-162.4575mm,Top,90
R3,228.5500mm,-163.1500mm,Top,0
R4,253.2750mm,-96.7400mm,Top,90
R5,237.7100mm,-161.0000mm,Top,0
R6,239.2000mm,-161.4000mm,Top,270
R7,244.7000mm,-164.8000mm,Top,180
R8,239.4500mm,-148.1120mm,Top,90
R9,238.2500mm,-148.1120mm,Top,90
R10,245.5000mm,-59.1000mm,Top,0
R11,232.0050mm,-163.9829mm,Top,270
R12,232.0000mm,-162.0100mm,Top,270
R13,232.6000mm,-118.0000mm,Top,270
R14,248.3000mm,-103.7100mm,Top,90
R15,253.8500mm,-107.7000mm,Top,90
R16,235.1000mm,-124.8000mm,Top,180
R17,254.9000mm,-107.7000mm,Top,90
R18,235.1000mm,-123.6000mm,Top,180
R19,235.1000mm,-122.4000mm,Top,180
R20,238.2000mm,-133.6000mm,Top,180
R21,253.8000mm,-110.7000mm,Top,90
R22,242.4000mm,-134.4900mm,Top,270
R23,224.3650mm,-106.3450mm,Top,0
R24,222.4500mm,-106.3450mm,Top,0
R25,216.3000mm,-112.6900mm,Top,90
R26,215.7750mm,-114.3950mm,Top,0
R27,228.4000mm,12.2000mm,Top,90
R28,215.8000mm,36.2000mm,Top,90
R29,227.8000mm,-108.6000mm,Top,270
R30,254.2000mm,-134.5100mm,Top,270
R31,254.4500mm,-95.5650mm,Top,90
R32,253.0100mm,-134.5200mm,Top,270
R33,245.4200mm,-134.5100mm,Top,270
R34,254.6000mm,-98.4100mm,Top,270
R35,236.7241mm,-111.0400mm,Top,270
R36,225.5000mm,-112.4100mm,Top,90
R37,257.1050mm,-90.7200mm,Top,180
R38,257.0850mm,-91.8100mm,Top,180
R39,223.3000mm,-118.1200mm,Top,270
R40,257.0650mm,-92.9200mm,Top,180
R41,235.5100mm,-126.6000mm,Top,180
R42,241.4500mm,-61.0150mm,Top,270
R43,221.3000mm,-119.3200mm,Top,180
R44,221.3000mm,-120.3200mm,Top,0
R45,220.6000mm,-128.1000mm,Top,0
