Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100NF 0402 25V X7R","C_0402_1005Metric",229.900000,-143.550000,180.000000,top
"C2","100NF 0402 25V X7R","C_0402_1005Metric",228.910000,-157.400000,90.000000,top
"C3","100NF 0402 25V X7R","C_0402_1005Metric",230.600000,-157.400000,90.000000,top
"C4","4.7N 50 VDC 5% 0603 C0G","C_0603_1608Metric",258.000000,-161.975000,90.000000,top
"C5","100NF 0402 25V X7R","C_0402_1005Metric",255.200000,-134.510000,-90.000000,top
"C6","100NF 0402 25V X7R","C_0402_1005Metric",231.850000,-143.600000,180.000000,top
"C7","100NF 0402 25V X7R","C_0402_1005Metric",231.900000,-142.600000,180.000000,top
"C8","100NF_0603_100V_X7S","C_0603_1608Metric",223.260000,-159.612500,90.000000,top
"C9","100NF 0402 25V X7R","C_0402_1005Metric",252.000000,-134.520000,-90.000000,top
"C10","10UF_0805_16V_X7R","C_0805_2012Metric",228.910000,-153.112500,-90.000000,top
"C11","100NF 1206 50V C0G","C_1206_3216Metric",247.837500,-166.500000,-90.000000,top
"C12","100NF 0402 25V X7R","C_0402_1005Metric",241.250000,-152.812000,180.000000,top
"C13","10UF_0805_16V_X7R","C_0805_2012Metric",230.910000,-153.112500,-90.000000,top
"C14","10UF_0805_16V_X7R","C_0805_2012Metric",233.110000,-153.112500,-90.000000,top
"C15","100NF 1206 50V C0G","C_1206_3216Metric",247.900000,-57.300000,90.000000,top
"C16","100NF 0402 25V X7R","C_0402_1005Metric",238.000000,-146.600000,0.000000,top
"C17","100NF 1206 50V C0G","C_1206_3216Metric",218.900000,-44.100000,90.000000,top
"C18","100NF 0402 25V X7R","C_0402_1005Metric",239.400000,-112.800000,180.000000,top
"C19","100NF 0402 25V X7R","C_0402_1005Metric",216.200000,-144.880000,90.000000,top
"C20","100NF 0402 25V X7R","C_0402_1005Metric",216.600000,-164.000000,0.000000,top
"C21","220PF 0603 50V C0G","C_0603_1608Metric",246.930000,-111.262500,90.000000,top
"C22","220PF 0603 50V C0G","C_0603_1608Metric",248.780000,-111.362500,90.000000,top
"C23","220PF 0603 50V C0G","C_0603_1608Metric",250.380000,-111.362500,90.000000,top
"C24","220PF 0603 50V C0G","C_0603_1608Metric",244.400000,-111.000000,90.000000,top
"C25","100NF 0402 25V X7R","C_0402_1005Metric",252.850000,-110.750000,90.000000,top
"C26","10UF_0805_16V_X7R","C_0805_2012Metric",256.430000,-110.150000,0.000000,top
