"Reference","Value","manf","mpn","Qty"
"C6,C7,C10,C13,C14,C26,C45","10UF_0805_16V_X7R","Generic","","7"
"C11,C15,C17,C31","100NF 1206 50V C0G","Generic","","4"
"C21,C22,C23,C24,C28,C29,C52,C53,C54","220PF 0603 50V C0G","Generic","","9"
"C32,C34","CAPP_PANASONIC_EEV-FK1E222M","Panasonic","EEV-FK1E222M","2"
"D1","DOID_ST_ESDA25P35-1U1M","STMicroelectronics","ESDA25P35-1U1M","1"
"D2,D3,D4,D5,D6,D7,D8,D9","DIODE_DIODES_B260S1F-7","Diodes Incorporated","B260S1F-7","8"
"F1","2A 3.5A 16V","Littefuse","1812L200/16DR","1"
"IC2","DCP3601","STMicroelectronics","DCP3601CDMR","1"
"IC3","IC_TEXAS_NE556DR","Texas Instruments","NE556DR","1"
"IC4","DRV8317HREER","Texas Instruments","DRV8317HREER","1"
"IC5","IC_DIODES_AP7381-33Y-13","Diodes Incorporated","AP7381-33Y-13","1"
"J2,J9","JUSHUO AFA01-S18FCA-00","JUSHUO","AFA01-S18FCA-00","2"
"L1,L2,L6,L7,L8,L9,L10,L11,L12,L13,L15,L16,L17,L18,L19,L20,L21,L22,L23,L25","INDC_BEAD_BLM18AG601SN1D","Muarata","BLM18AG601SN1D","20"
"R3","28K 0402 1%","Generic","","1"
"J4","Conn_01x02_Pin","","","1"
"J1","CONN_GCT_USB4105-GF-A","GCT","USB4105-GF-A ","1"
"IC1","IC_DIODES_AP7381-50Y-13","Diodes Incorporated","AP7381-50Y-13","1"
"C1,C8,C41,C56,C58,C62","100NF_0603_100V_X7S","Generic","","6"
"C2,C36,C37,C38,C39","10UF 1206 35V X5R","Generic","","5"
"R4,R11,R30,R31,R32,R33,R50,R58,R60,R72","47K 0402","Generic","","10"
"C4,C49,C50,C51","4.7N 50 VDC 5% 0603 C0G","Generic","","4"
"C3,C5,C9,C12,C16,C18,C19,C20,C25,C27,C30,C33,C35,C40,C42,C43,C44,C46,C47,C48,C55,C59,C60,C61,C63","100NF 0402 25V X7R","Generic","","25"
"J5","B5P-VH","JST","B5P-VH","1"
"J6","CONN_JST_B6B-PH-K-S","JST","B6B-PH-S-K-S","1"
"K1","REL_PANASONIC_JW2SN-DC12V","Panasonic","JW2SN-DC12V","1"
"L3,L14","INDC_BEAD_TAY_FBMH3216HM221NT","Taiyo Yuden ","FBMH3216HM221NT","2"
"L4","INDC_TDK_VLCF5028T-220MR71-2","TDK","VLCF5028T-220MR71-2","1"
"LED1,LED2","RGB","Cree","UHD111A-FKA-C3K23E1L3VG5ZB3Z3","2"
"M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13","CONN_M4_MOUNT","","","13"
"MK1,MK2,MK3","IC_KNOWLES_SPH0141LM4H-1","Knowles","SPH0141LM4H-1","3"
"Q1,Q5","TRAN_ALPHA_AONR21357","Alpha","AONR21357","2"
"Q2,Q3,Q4,Q6","TRAN_DIODES_DMN62D0U-13","Diodes Inc","DMN62D0U-13","4"
"R1,R23","220K 0402","Generic","","2"
"R2","80.6K 0402 1%","Generic","","1"
"R5,R14,R15,R17,R24,R34,R53,R54","1.5K 0402","Generic","","8"
"R6,R8,R9,R12,R21,R27,R43,R71","4.7K 0402","Generic","","8"
"R7,R10,R16,R18,R19,R22,R26,R35,R45,R46,R47,R48,R55,R56,R59,R61,R62","100R 0402","Generic","","17"
"R13,R20,R25,R29,R36,R39,R41,R42,R44,R52,R73","10K 0402","Generic","","11"
"R28,R70","220R 0402","Generic","","2"
"R37,R38,R40,R49,R51","10R 0402","Generic","","5"
"R57","7.5K 0402","Generic","","1"
"R66,R68","330R 0402","Generic","","2"
"RV1,RV2","200R","Bourns","TC33X-2-201E","2"
"S3","PBH2UEESNPNAGX","E-Switch","PBH2UEESNPNAGX","1"
"SW1,SW2","BTN_OMRON_B3S-1100P","Omron","B3S-1100P","2"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP13","TestPoint","","","11"
"U1","IC_TEXAS_TPD4S201TRGRRQ1","Texas Instruments","TPD4S201TRGRRQ1","1"
"U2","HUSB238_002DD","Hynetek","HUSB238_002DD","1"
"U3","ESP32-S3-WROOM-1-N8R2","Espressif","ESP32-S3-WROOM-1-N8R2","1"
"U4","74HC393D","Nexperia","74HC393D_653","1"
"U5","IC_DIOD_LM4040D30FTA","Diodes Incorporated","LM4040D30FTA","1"
"U6","RS2254XQ","Runic","RS2254XQ","1"
"U7","IC_NEXPERIA_74LVC1G386GW","Nexperia","74LVC1G386GW,125","1"
"U8","74VHCT126AFT","Toshiba","74VHCT126AFT","1"
"VR1","POT_ALPS_RK097111080R","ALPS Electric","RK097111080R","1"
"VR2,VR3","POT_ALPS_RK09711110EL","ALPS Electric","RK09711110EL","2"
