Comment	Designator	Footprint	JLCPCB Part #（optional）
100NF 0402 25V X7R	C1,C2,C3,C5,C6,C7,C9,C12,C16,C18,C19,C20,C25,C27,C30,C33,C35,C40,C42,C43,C44,C46,C47,C48,C55,C56,C57,C59,C60,C61,C63		
4.7N 50 VDC 5% 0603 C0G	C4,C49,C50,C51		
100NF_0603_100V_X7S	C8,C41,C58,C62		
10UF_0805_16V_X7R	C10,C13,C14,C26,C45		
100NF 1206 50V C0G	C11,C15,C17,C31		
220PF 0603 50V C0G	C21,C22,C23,C24,C28,C29,C52,C53,C54		
Panasonic EEV-FK1E222M	C32,C34		
10UF 1206 35V X5R	C36,C37,C38,C39		
STMicroelectronics ESDA25P35-1U1M	D1		
Diodes Incorporated B260S1F-7	D2,D3,D4,D5,D6,D7,D8,D9		
Littefuse 1812L200/16DR	F1		
Diodes Incorporated AP7381-50Y-13	IC1		
STMicroelectronics DCP3601CDMR	IC2		
Texas Instruments NE556DR	IC3		
Texas Instruments DRV8317HREER	IC4		
Diodes Incorporated AP7381-33Y-13	IC5		
GCT USB4105-GF-A	J1		
Amphenol ICC (FCI) F51L-1A7H1-11018	J2,J9		
Conn_01x06_Pin	J3		
Conn_01x02_Pin	J4		
JST B5P-VH	J5		
JST B6B-PH-S-K-S	J6		
Panasonic JW2SN-DC12V	K1		
Muarata BLM18AG601SN1D	L1,L2,L6,L7,L8,L9,L10,L11,L12,L13,L15,L16,L17,L18,L19,L20,L21,L22,L23,L25		
Taiyo Yuden FBMH3216HM221NT	L3,L14		
TDK VLCF5028T-220MR71-2	L4		
Cree UHD111A-FKA-C3K23E1L3VG5ZB3Z3	LED1,LED2		
CONN_M4_MOUNT	M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13		
Knowles SPH0141LM4H-1	MK1,MK2,MK3		
Alpha AONR21357	Q1,Q5		
Diodes Inc DMN62D0U-13	Q2,Q3,Q4,Q6		
220K 0402	R1,R23		
80.6K 0402 1%	R2		
28K 0402 1%	R3		
47K 0402	R4,R11,R30,R31,R32,R33,R50,R58,R60,R72		
1.5K 0402	R5,R14,R15,R17,R24,R34,R53,R54		
4.7K 0402	R6,R8,R9,R12,R21,R27,R43,R71		
100R 0402	R7,R10,R16,R18,R19,R22,R26,R35,R45,R46,R47,R48,R56,R59,R61,R62		
10K 0402	R13,R20,R25,R29,R36,R39,R41,R42,R44,R52,R73		
220R 0402	R28,R70		
10R 0402	R37,R38,R40,R49,R51,R55		
7.5K 0402	R57		
330R 0402	R66,R68		
Bourns TC33X-2-201E	RV1,RV2		
E-Switch PBH2UEESNPNAGX	S3		
Omron B3S-1100P	SW1,SW2		
TestPoint	TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP13		
Texas Instruments TPD4S201TRGRRQ1	U1		
Hynetek HUSB238_002DD	U2		
Espressif ESP32-S3-WROOM-1-N8R2	U3		
Nexperia 74HC393D_653	U4		
Diodes Incorporated LM4040D30FTA	U5		
Runic RS2254XQ	U6		
Nexperia 74LVC1G386GW,125	U7		
Toshiba 74VHCT126AFT	U8		
ALPS Electric RK097111080R	VR1		
ALPS Electric RK09711110EL	VR2,VR3		
